Puntos generación 1: 0 (0%) || Mejor: 0 (0%)
Puntos generación 2: 0 (0%) || Mejor: 0 (0%)
Puntos generación 3: 4 (0%) || Mejor: 4 (4%)
Puntos generación 4: 80 (4%) || Mejor: 4 (4%)
Puntos generación 5: 152 (7%) || Mejor: 60 (60%)
Puntos generación 6: 504 (25%) || Mejor: 60 (60%)
Puntos generación 7: 1024 (51%) || Mejor: 60 (60%)
Puntos generación 8: 1104 (55%) || Mejor: 60 (60%)
Puntos generación 9: 1160 (58%) || Mejor: 60 (60%)
Puntos generación 10: 1160 (58%) || Mejor: 60 (60%)
Puntos generación 11: 1040 (52%) || Mejor: 60 (60%)
Puntos generación 12: 1000 (50%) || Mejor: 60 (60%)
Puntos generación 13: 1040 (52%) || Mejor: 60 (60%)
Puntos generación 14: 940 (47%) || Mejor: 60 (60%)
Puntos generación 15: 1048 (52%) || Mejor: 68 (68%)
Puntos generación 16: 888 (44%) || Mejor: 60 (60%)
Puntos generación 17: 868 (43%) || Mejor: 60 (60%)
Puntos generación 18: 972 (48%) || Mejor: 60 (60%)
Puntos generación 19: 600 (30%) || Mejor: 60 (60%)
Puntos generación 20: 660 (33%) || Mejor: 64 (64%)
Puntos generación 21: 428 (21%) || Mejor: 60 (60%)
Puntos generación 22: 824 (41%) || Mejor: 60 (60%)
Puntos generación 23: 460 (23%) || Mejor: 60 (60%)
Puntos generación 24: 880 (44%) || Mejor: 60 (60%)
Puntos generación 25: 965 (48%) || Mejor: 61 (61%)
Puntos generación 26: 1083 (54%) || Mejor: 61 (61%)
Puntos generación 27: 1201 (60%) || Mejor: 61 (61%)
Puntos generación 28: 1201 (60%) || Mejor: 61 (61%)
Puntos generación 29: 1202 (60%) || Mejor: 61 (61%)
Puntos generación 30: 1201 (60%) || Mejor: 61 (61%)
Puntos generación 31: 1201 (60%) || Mejor: 61 (61%)
Puntos generación 32: 1204 (60%) || Mejor: 62 (62%)
Puntos generación 33: 1208 (60%) || Mejor: 62 (62%)
Puntos generación 34: 1207 (60%) || Mejor: 64 (64%)
Puntos generación 35: 1212 (60%) || Mejor: 64 (64%)
Puntos generación 36: 1220 (61%) || Mejor: 64 (64%)
Puntos generación 37: 1230 (61%) || Mejor: 64 (64%)
Puntos generación 38: 1256 (62%) || Mejor: 74 (74%)
Puntos generación 39: 1314 (65%) || Mejor: 88 (88%)
Puntos generación 40: 1364 (68%) || Mejor: 82 (82%)
Puntos generación 41: 1334 (66%) || Mejor: 74 (74%)
Puntos generación 42: 1352 (67%) || Mejor: 78 (78%)
Puntos generación 43: 1359 (67%) || Mejor: 78 (78%)
Puntos generación 44: 1397 (69%) || Mejor: 82 (82%)
Puntos generación 45: 1423 (71%) || Mejor: 82 (82%)
Puntos generación 46: 1349 (67%) || Mejor: 82 (82%)
Puntos generación 47: 1366 (68%) || Mejor: 82 (82%)
Puntos generación 48: 1236 (61%) || Mejor: 82 (82%)
Puntos generación 49: 1090 (54%) || Mejor: 82 (82%)
Puntos generación 50: 1362 (68%) || Mejor: 82 (82%)
Puntos generación 51: 1384 (69%) || Mejor: 82 (82%)
Puntos generación 52: 1374 (68%) || Mejor: 82 (82%)
Puntos generación 53: 1328 (70%) || Mejor: 82 (82%)
Puntos generación 54: 1414 (70%) || Mejor: 86 (86%)
