Puntos generación 1: 0 (0%) || Mejor: 0 (0%)
Puntos generación 2: 19 (7%) || Mejor: 10 (40%)
Puntos generación 3: 78 (31%) || Mejor: 15 (60%)
Puntos generación 4: 64 (25%) || Mejor: 14 (56%)
Puntos generación 5: 61 (24%) || Mejor: 7 (28%)
Puntos generación 6: 61 (24%) || Mejor: 11 (44%)
Puntos generación 7: 52 (20%) || Mejor: 7 (28%)
Puntos generación 8: 55 (22%) || Mejor: 14 (56%)
Puntos generación 9: 55 (22%) || Mejor: 18 (72%)
Puntos generación 10: 109 (43%) || Mejor: 18 (72%)
Puntos generación 11: 76 (30%) || Mejor: 23 (92%)
Puntos generación 12: 58 (23%) || Mejor: 8 (32%)
Puntos generación 13: 44 (17%) || Mejor: 8 (32%)
Puntos generación 14: 56 (22%) || Mejor: 8 (32%)
Puntos generación 15: 64 (25%) || Mejor: 20 (80%)
Puntos generación 16: 102 (40%) || Mejor: 20 (80%)
Puntos generación 17: 96 (38%) || Mejor: 20 (80%)
Puntos generación 18: 56 (22%) || Mejor: 20 (80%)
Puntos generación 19: 72 (28%) || Mejor: 20 (80%)
Puntos generación 20: 153 (61%) || Mejor: 21 (84%)
Puntos generación 21: 155 (62%) || Mejor: 22 (88%)
Puntos generación 22: 176 (70%) || Mejor: 23 (92%)
Puntos generación 23: 157 (62%) || Mejor: 22 (88%)
Puntos generación 24: 170 (68%) || Mejor: 22 (88%)
Puntos generación 25: 170 (68%) || Mejor: 20 (80%)
Puntos generación 26: 188 (75%) || Mejor: 22 (88%)
Puntos generación 27: 204 (81%) || Mejor: 22 (88%)
Puntos generación 28: 202 (80%) || Mejor: 22 (88%)
Puntos generación 29: 182 (72%) || Mejor: 22 (88%)
Puntos generación 30: 180 (72%) || Mejor: 20 (80%)
Puntos generación 31: 124 (49%) || Mejor: 20 (80%)
Puntos generación 32: 52 (20%) || Mejor: 20 (80%)
Puntos generación 33: 168 (67%) || Mejor: 20 (80%)
Puntos generación 34: 168 (67%) || Mejor: 20 (80%)
Puntos generación 35: 155 (62%) || Mejor: 20 (80%)
Puntos generación 36: 136 (54%) || Mejor: 20 (80%)
Puntos generación 37: 120 (48%) || Mejor: 20 (80%)
Puntos generación 38: 72 (28%) || Mejor: 20 (80%)
Puntos generación 39: 56 (22%) || Mejor: 20 (80%)
Puntos generación 40: 140 (56%) || Mejor: 22 (88%)
Puntos generación 41: 204 (81%) || Mejor: 22 (88%)
Puntos generación 42: 184 (73%) || Mejor: 22 (88%)
Puntos generación 43: 186 (74%) || Mejor: 22 (88%)
