Puntos generación 1: 0 (0%) || Mejor: 0 (0%)
Puntos generación 2: 1 (0%) || Mejor: 1 (1%)
Puntos generación 3: 59 (5%) || Mejor: 17 (17%)
Puntos generación 4: 215 (21%) || Mejor: 51 (51%)
Puntos generación 5: 278 (27%) || Mejor: 52 (52%)
Puntos generación 6: 303 (30%) || Mejor: 55 (55%)
Puntos generación 7: 440 (44%) || Mejor: 61 (61%)
Puntos generación 8: 460 (46%) || Mejor: 61 (61%)
Puntos generación 9: 550 (49%) || Mejor: 75 (75%)
Puntos generación 10: 523 (52%) || Mejor: 59 (59%)
Puntos generación 11: 544 (54%) || Mejor: 71 (71%)
Puntos generación 12: 511 (51%) || Mejor: 63 (63%)
Puntos generación 13: 485 (48%) || Mejor: 65 (65%)
Puntos generación 14: 588 (58%) || Mejor: 73 (73%)
Puntos generación 15: 435 (43%) || Mejor: 65 (65%)
Puntos generación 16: 399 (39%) || Mejor: 65 (65%)
Puntos generación 17: 384 (38%) || Mejor: 63 (63%)
Puntos generación 18: 448 (44%) || Mejor: 73 (73%)
Puntos generación 19: 340 (39%) || Mejor: 63 (63%)
Puntos generación 20: 448 (38%) || Mejor: 59 (59%)
Puntos generación 21: 398 (38%) || Mejor: 61 (61%)
Puntos generación 22: 366 (43%) || Mejor: 61 (61%)
Puntos generación 23: 329 (28%) || Mejor: 52 (52%)
Puntos generación 24: 352 (41%) || Mejor: 72 (72%)
Puntos generación 25: 204 (19%) || Mejor: 72 (72%)
Puntos generación 26: 271 (33%) || Mejor: 76 (76%)
Puntos generación 27: 352 (40%) || Mejor: 76 (76%)
Puntos generación 28: 236 (23%) || Mejor: 76 (76%)
Puntos generación 29: 358 (35%) || Mejor: 76 (76%)
Puntos generación 30: 263 (26%) || Mejor: 66 (66%)
Puntos generación 31: 127 (12%) || Mejor: 76 (76%)
Puntos generación 32: 399 (39%) || Mejor: 76 (76%)
Puntos generación 33: 244 (24%) || Mejor: 71 (71%)
Puntos generación 34: 576 (57%) || Mejor: 75 (75%)
Puntos generación 35: 503 (50%) || Mejor: 70 (70%)
Puntos generación 36: 445 (44%) || Mejor: 70 (70%)
Puntos generación 37: 306 (30%) || Mejor: 68 (68%)
Puntos generación 38: 336 (33%) || Mejor: 72 (72%)
Puntos generación 39: 286 (28%) || Mejor: 91 (91%)
Puntos generación 40: 605 (53%) || Mejor: 69 (69%)
Puntos generación 41: 663 (66%) || Mejor: 69 (69%)
Puntos generación 42: 593 (59%) || Mejor: 68 (68%)
Puntos generación 43: 668 (66%) || Mejor: 78 (78%)
Puntos generación 44: 645 (64%) || Mejor: 79 (79%)
Puntos generación 45: 529 (52%) || Mejor: 79 (79%)
Puntos generación 46: 696 (69%) || Mejor: 84 (84%)
Puntos generación 47: 562 (56%) || Mejor: 82 (82%)
Puntos generación 48: 483 (48%) || Mejor: 84 (84%)
Puntos generación 49: 401 (40%) || Mejor: 83 (83%)
Puntos generación 50: 400 (40%) || Mejor: 82 (82%)
Puntos generación 51: 0 (0%) || Mejor: 0 (0%)
Puntos generación 52: 0 (0%) || Mejor: 0 (0%)
Puntos generación 53: 0 (0%) || Mejor: 0 (0%)
Puntos generación 54: 0 (0%) || Mejor: 0 (0%)
Puntos generación 55: 89 (8%) || Mejor: 89 (89%)
Puntos generación 56: 801 (80%) || Mejor: 89 (89%)
Puntos generación 57: 801 (80%) || Mejor: 89 (89%)
Puntos generación 58: 891 (89%) || Mejor: 90 (90%)
Puntos generación 59: 624 (62%) || Mejor: 90 (90%)
Puntos generación 60: 619 (61%) || Mejor: 90 (90%)
Puntos generación 61: 326 (32%) || Mejor: 89 (89%)
Puntos generación 62: 659 (65%) || Mejor: 89 (89%)
Puntos generación 63: 682 (68%) || Mejor: 91 (91%)
Puntos generación 64: 248 (24%) || Mejor: 89 (89%)
Puntos generación 65: 840 (84%) || Mejor: 90 (90%)
Puntos generación 66: 742 (74%) || Mejor: 89 (89%)
Puntos generación 67: 879 (87%) || Mejor: 93 (93%)
Puntos generación 68: 699 (69%) || Mejor: 89 (89%)
Puntos generación 69: 699 (69%) || Mejor: 92 (92%)
Puntos generación 70: 540 (54%) || Mejor: 92 (92%)
Puntos generación 71: 360 (36%) || Mejor: 92 (92%)
Puntos generación 72: 728 (72%) || Mejor: 92 (92%)
Puntos generación 73: 640 (64%) || Mejor: 92 (92%)
Puntos generación 74: 276 (27%) || Mejor: 92 (92%)
Puntos generación 75: 830 (83%) || Mejor: 94 (94%)
Puntos generación 76: 554 (55%) || Mejor: 94 (94%)
Puntos generación 77: 272 (27%) || Mejor: 92 (92%)
Puntos generación 78: 909 (90%) || Mejor: 93 (93%)
Puntos generación 79: 552 (55%) || Mejor: 92 (92%)
Puntos generación 80: 828 (82%) || Mejor: 92 (92%)
Puntos generación 81: 740 (74%) || Mejor: 96 (96%)
Puntos generación 82: 644 (64%) || Mejor: 92 (92%)
Puntos generación 83: 368 (36%) || Mejor: 92 (92%)
Puntos generación 84: 652 (65%) || Mejor: 96 (96%)
Puntos generación 85: 562 (56%) || Mejor: 96 (96%)
Puntos generación 86: 544 (54%) || Mejor: 96 (96%)
Puntos generación 87: 282 (28%) || Mejor: 96 (96%)
Puntos generación 88: 654 (65%) || Mejor: 96 (96%)
Puntos generación 89: 470 (47%) || Mejor: 96 (96%)
Puntos generación 90: 568 (56%) || Mejor: 98 (98%)
Puntos generación 91: 847 (84%) || Mejor: 96 (96%)
Puntos generación 92: 837 (83%) || Mejor: 96 (96%)
Puntos generación 93: 660 (66%) || Mejor: 96 (96%)
Puntos generación 94: 830 (83%) || Mejor: 96 (96%)
Puntos generación 95: 632 (63%) || Mejor: 96 (96%)
Puntos generación 96: 340 (34%) || Mejor: 96 (96%)
Puntos generación 97: 646 (64%) || Mejor: 96 (96%)
Puntos generación 98: 464 (46%) || Mejor: 96 (96%)
Puntos generación 99: 334 (33%) || Mejor: 96 (96%)
Puntos generación 100: 832 (83%) || Mejor: 96 (96%)
Puntos generación 101: 788 (78%) || Mejor: 80 (80%)
Col: [b] valida: true , puntos: 98 , [0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0] , [20,40,31,10,39,22,35,1,2,27,32,11,26,13,38,5,18,33,19,6,17,15,21,12,36,3,42,25,34,16,37,28,29,0,4,9,30,8,14,7,41,24,43,23]

Col: valida: true , puntos: 98 , [0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0] , [20,40,31,10,39,22,35,1,2,27,32,11,26,13,38,5,18,33,19,6,17,15,21,12,36,3,42,25,34,16,37,28,29,0,4,9,30,8,14,7,41,24,43,23]
+----------+
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111111|
|1111111100|
|1111111111|
+----------+
